tconst,title_type,primary_title,alternate_title,is_adult,start_year,end_year,run_time_minutes,genres
tt0054518,tvSeries,The Avengers,The Avengers,0,1961,1969,50,"Action,Comedy,Crime"
tt0054571,tvSeries,Three Live Wires,Three Live Wires,0,1961,,30,Comedy
tt0055556,movie,"Two Living, One Dead","Two Living, One Dead",0,1961,,105,"Crime,Drama,Thriller"
tt0056105,movie,The Swingin' Maiden,The Iron Maiden,0,1962,,98,"Comedy,Romance"
tt0056696,movie,Young and Willing,The Wild and the Willing,0,1962,,110,"Drama,Romance"
tt0057435,movie,The Punch and Judy Man,The Punch and Judy Man,0,1963,,96,Comedy
tt0058142,movie,Girl with Green Eyes,Girl with Green Eyes,0,1964,,91,"Drama,Romance"
tt0058596,movie,Smokescreen,Smokescreen,0,1964,,70,"Crime,Drama,Mystery"
tt0059106,movie,Die! Die! My Darling!,Fanatic,0,1965,,97,"Horror,Thriller"
tt0059191,tvEpisode,For the West,For the West,0,1965,,75,Drama
tt0059607,movie,The Pleasure Girls,The Pleasure Girls,0,1965,,88,Drama
tt0059660,movie,Rotten to the Core,Rotten to the Core,0,1965,,90,"Comedy,Crime"
tt0060039,tvMiniSeries,The Wars of the Roses,The Wars of the Roses,0,1965,1966,,"Drama,History,War"
tt0060094,movie,The Alphabet Murders,The Alphabet Murders,0,1965,,90,"Comedy,Crime,Mystery"
tt0060100,tvEpisode,Amerika,Amerika,0,1966,,120,Drama
tt0060506,tvEpisode,A Hero of Our Time,A Hero of Our Time,0,1966,,85,Drama
tt0060532,movie,Time Lost and Time Remembered,I Was Happy Here,0,1966,,91,"Drama,Romance"
tt0060866,movie,The Psychopath,The Psychopath,0,1966,,82,"Crime,Horror,Mystery"
tt0061170,movie,Walk Don't Run,Walk Don't Run,0,1966,,114,"Comedy,Romance"
tt0061260,tvSeries,Harry Worth,Harry Worth,0,1966,1970,30,Comedy
tt0061279,tvSeries,Misleading Cases,Misleading Cases,0,1967,1971,30,Comedy
tt0061666,tvEpisode,Firebrand,Firebrand,0,1967,,,Drama
tt0061901,tvEpisode,Leave Me Alone,Leave Me Alone,0,1967,,30,"Crime,Drama"
tt0061948,movie,The Man Outside,The Man Outside,0,1967,,97,Drama
tt0062029,movie,The Naked Runner,The Naked Runner,0,1967,,101,"Drama,Thriller"
tt0062072,tvEpisode,Oldenberg,Oldenberg,0,1967,,30,"Crime,Drama"
tt0062168,movie,Quatermass and the Pit,Quatermass and the Pit,0,1967,,97,"Horror,Mystery,Sci-Fi"
tt0062358,movie,Theatre of Death,Theatre of Death,0,1967,,91,"Horror,Mystery,Thriller"
tt0062384,movie,Torture Garden,Torture Garden,0,1967,,93,"Fantasy,Horror"
tt0062561,tvSeries,The First Lady,The First Lady,0,1968,1969,50,Drama
tt0062746,movie,The Bofors Gun,The Bofors Gun,0,1968,,105,Drama
tt0062791,tvEpisode,Charlie,Charlie,0,1968,,75,Drama
tt0062910,tvEpisode,The Drummer and the Bloke,The Drummer and the Bloke,0,1968,,70,Drama
